idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,storico,datastart,datastop,utm_nord,utm_est,coordinate,
5547,Biossido di Azoto,µg/m³,544,Cormano v. Edison,153,MI,Cormano,N,1994-10-24T00:00:00.000,,5044180,512693,(45.55104, 9.162614)
5548,Biossido di Azoto,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,N,1998-03-17T00:00:00.000,,5014273,499103,(45.281956, 8.988563)
5549,Biossido di Azoto,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,N,1995-04-22T00:00:00.000,,5034328,490635,(45.462418, 8.880211)
5550,Biossido di Azoto,µg/m³,547,Milano Parco Lambro,123,MI,Milano,S,1995-04-21T00:00:00.000,2018-07-30T00:00:00.000,5038480,519323,(45.499584, 9.247327)
5551,Biossido di Azoto,µg/m³,548,Milano v.Senato,118,MI,Milano,N,1995-04-21T00:00:00.000,,5035238,515435,(45.470497, 9.19746)
5552,Biossido di Azoto,µg/m³,549,Milano P.zza Abbiategrasso,111,MI,Milano,S,1995-05-20T00:00:00.000,2018-07-30T00:00:00.000,5030980,514247,(45.432198, 9.182138)
5554,Biossido di Azoto,µg/m³,551,Arconate v. De Gasperi,182,MI,Arconate,N,1999-01-20T00:00:00.000,,5043898,488082,(45.54852, 8.8473215)
5555,Biossido di Azoto,µg/m³,552,Varese v.Vidoletti,425,VA,Varese,N,1991-12-24T00:00:00.000,,5075945,484773,(45.836903, 8.803926)
5556,Biossido di Azoto,µg/m³,553,Saronno v.Marconi,211,VA,Saronno,S,1993-06-23T00:00:00.000,2003-12-03T00:00:00.000,5052270,502902,(45.62397, 9.037227)
5557,Biossido di Azoto,µg/m³,554,Saronno v.Santuario,212,VA,Saronno,N,1997-03-28T00:00:00.000,,5052646,502058,(45.627357, 9.0264015)
5558,Biossido di Azoto,µg/m³,555,Busto Arsizio v.Magenta,222,VA,Busto Arsizio,S,1991-05-25T00:00:00.000,2018-07-30T00:00:00.000,5050810,488313,(45.610737, 8.850116)
5559,Biossido di Azoto,µg/m³,556,Gallarate  P.zza S.Lorenzo,240,VA,Gallarate,S,1991-06-26T00:00:00.000,2018-07-30T00:00:00.000,5056010,484229,(45.65746, 8.797571)
5560,Biossido di Azoto,µg/m³,557,Lonate Pozzolo v.Veneto,204,VA,Lonate Pozzolo,S,1996-12-05T00:00:00.000,2018-07-30T00:00:00.000,5048975,479783,(45.594025, 8.740797)
5561,Biossido di Azoto,µg/m³,558,Busto Arsizio  Accam,206,VA,Busto Arsizio,N,1998-12-06T00:00:00.000,,5047718,487687,(45.582893, 8.842165)
5562,Biossido di Azoto,µg/m³,559,Somma Lombardo v.Facchinetti,210,VA,Somma Lombardo,S,2000-03-21T00:00:00.000,2018-07-30T00:00:00.000,5055150,477613,(45.649536, 8.712691)
5563,Biossido di Azoto,µg/m³,560,Varese v.Copelli,383,VA,Varese,N,2003-08-07T00:00:00.000,,5073728,486035,(45.816975, 8.820241)
5564,Biossido di Azoto,µg/m³,561,Como v.Cattaneo,202,CO,Como,N,1991-02-17T00:00:00.000,,5073500,505203,(45.815044, 9.066972)
5565,Biossido di Azoto,µg/m³,562,Mariano Comense v.le Lombardia,256,CO,Mariano Comense,S,1991-02-17T00:00:00.000,2015-03-01T00:00:00.000,5059472,514067,(45.688656, 9.180657)
5566,Biossido di Azoto,µg/m³,563,Fino Mornasco SP27 casa dell'Alpino,304,CO,Fino Mornasco,S,1992-01-08T00:00:00.000,2018-07-30T00:00:00.000,5066055,503313,(45.748043, 9.042593)
5567,Biossido di Azoto,µg/m³,564,Erba v. Battisti,279,CO,Erba,N,2009-06-13T00:00:00.000,,5072803,517232,(45.808575, 9.221779)
5568,Biossido di Azoto,µg/m³,565,Cantù v.Meucci,369,CO,Cantù,N,1994-02-15T00:00:00.000,,5064150,509783,(45.730835, 9.125734)
5569,Biossido di Azoto,µg/m³,566,Olgiate Comasco v.Roma,404,CO,Olgiate Comasco,S,1995-02-01T00:00:00.000,2010-04-15T00:00:00.000,5070038,497388,(45.783897, 8.966398)
5570,Biossido di Azoto,µg/m³,567,Chiavenna v.Cerletti,333,SO,Chiavenna,S,1993-10-28T00:00:00.000,2018-07-30T00:00:00.000,5129768,530454,(46.320805, 9.395591)
5572,Biossido di Azoto,µg/m³,569,Sondrio v.Mazzini,307,SO,Sondrio,N,1993-11-01T00:00:00.000,,5113078,567173,(46.167965, 9.870144)
5573,Biossido di Azoto,µg/m³,570,Tirano Viale Italia,439,SO,Tirano,S,1993-11-01T00:00:00.000,2018-07-30T00:00:00.000,5118891,589196,(46.217747, 10.15647)
5574,Biossido di Azoto,µg/m³,571,Bormio v.Monte Braulio,1225,SO,Bormio,N,1993-11-01T00:00:00.000,,5147136,605598,(46.469524, 10.375433)
5575,Biossido di Azoto,µg/m³,572,Morbegno v.Cortivacci,262,SO,Morbegno,N,1999-01-13T00:00:00.000,,5108901,543736,(46.132282, 9.56618)
5576,Biossido di Azoto,µg/m³,573,Colico v.La Madoneta,229,LC,Colico,N,1996-11-05T00:00:00.000,,5109468,529713,(46.13814, 9.384687)
5577,Biossido di Azoto,µg/m³,574,Lecco v. Amendola,214,LC,Lecco,N,1991-02-17T00:00:00.000,,5077479,530713,(45.850193, 9.395577)
5578,Biossido di Azoto,µg/m³,575,Nibionno v.della Chiesa,310,LC,Nibionno,S,1991-12-20T00:00:00.000,2018-07-30T00:00:00.000,5066429,520613,(45.75111, 9.265021)
5579,Biossido di Azoto,µg/m³,576,Merate v. Madonna di Loreto,279,LC,Merate,N,1991-02-18T00:00:00.000,,5060569,531623,(45.697952, 9.406191)
5580,Biossido di Azoto,µg/m³,577,Calolziocorte c.so Dante,215,LC,Calolziocorte,S,1994-11-28T00:00:00.000,2018-07-30T00:00:00.000,5072149,533373,(45.802097, 9.429467)
5581,Biossido di Azoto,µg/m³,578,Varenna v.Polvani,220,LC,Varenna,S,1991-02-21T00:00:00.000,2008-02-07T00:00:00.000,5095134,522088,(46.009422, 9.285304)
5586,Biossido di Azoto,µg/m³,583,Bergamo v.Meucci,249,BG,Bergamo,N,1989-06-01T00:00:00.000,,5059922,550116,(45.691036, 9.643651)
5587,Biossido di Azoto,µg/m³,584,Bergamo v.Garibaldi,249,BG,Bergamo,N,1994-06-21T00:00:00.000,,5060449,551482,(45.69568, 9.661249)
5589,Biossido di Azoto,µg/m³,586,Costa Volpino v.Nazionale,192,BG,Costa Volpino,S,1993-07-26T00:00:00.000,2018-07-30T00:00:00.000,5075429,585212,(45.827156, 10.097062)
5590,Biossido di Azoto,µg/m³,587,Casnigo via Europa,514,BG,Casnigo,S,1989-11-08T00:00:00.000,2005-05-05T00:00:00.000,5073819,567412,(45.81464, 9.867701)
5591,Biossido di Azoto,µg/m³,588,Tavernola Bergamasca v.Riva di Sotto,191,BG,Tavernola Bergamasca,N,1990-09-21T00:00:00.000,,5063058,581311,(45.7163, 10.044766)
5592,Biossido di Azoto,µg/m³,589,Nembro v.Locatelli,309,BG,Nembro,S,1991-06-07T00:00:00.000,2007-03-14T00:00:00.000,5065779,559162,(45.74304, 9.760535)
5593,Biossido di Azoto,µg/m³,590,Ponte San Pietro v. Moiolo,225,BG,Ponte San Pietro,S,1990-07-04T00:00:00.000,2013-05-26T00:00:00.000,5060449,545762,(45.696083, 9.587784)
5594,Biossido di Azoto,µg/m³,591,Seriate v. Garibaldi,256,BG,Seriate,S,1991-10-31T00:00:00.000,2018-07-30T00:00:00.000,5059449,555672,(45.686356, 9.714948)
5595,Biossido di Azoto,µg/m³,592,Treviglio p.zza Insurrezione,191,BG,Treviglio,N,1991-06-02T00:00:00.000,,5040815,546236,(45.519337, 9.59201)
5596,Biossido di Azoto,µg/m³,593,Ciserano c.so Europa,159,BG,Ciserano,S,1994-11-30T00:00:00.000,2018-07-30T00:00:00.000,5048846,547278,(45.59155, 9.606128)
5597,Biossido di Azoto,µg/m³,594,Bergamo v.Goisis,290,BG,Bergamo,S,1996-09-14T00:00:00.000,2018-07-30T00:00:00.000,5062715,553620,(45.71591, 9.688959)
5598,Biossido di Azoto,µg/m³,595,Filago v.Don Milani,190,BG,Filago,N,1992-03-06T00:00:00.000,,5053519,543342,(45.633865, 9.556085)
5599,Biossido di Azoto,µg/m³,596,Osio Sotto v.per Levate,182,BG,Osio Sotto,N,2000-04-06T00:00:00.000,,5052072,547691,(45.620556, 9.611738)
5600,Biossido di Azoto,µg/m³,597,Lallio v. Sforzatica,212,BG,Lallio,S,2000-04-13T00:00:00.000,2017-01-01T00:00:00.000,5056421,548190,(45.659664, 9.618568)
